skin,gamma,L1,L2,L3
Dry,4.0,3.3421749554300626,1.7855382756205005,0.0
Dry,0.1,2.184077228430664,1.3752261021720706,0.0011922724262874653
Dry,0.3,2.458421983036189,1.4921144909838417,0.0
Dry,0.5,2.685283650441952,1.610079468220122,0.0
Dry,1.0,3.116968370974399,1.8735720959764584,0.0
Dry,2.0,3.6678433405748394,2.2615994588263706,0.0
Dry,4.0,4.2836473311756675,2.730303774638207,0.0
Dry,0.1,2.0053945151382484,1.3513256655161634,0.0
Dry,0.3,2.1764784884252086,1.3603800786320113,0.0
Dry,0.5,2.32152991606993,1.374475776440357,0.0
Dry,1.0,2.623589586964703,1.4091784683061508,0.0
Dry,2.0,3.0315190623589396,1.4573921613292362,0.0
Dry,4.0,0.1535565365693427,0.0,0.0
Dry,0.1,1.9429685825300411,1.4868002618040101,0.2522325674728689
Dry,0.3,2.0513469959164676,1.4002044790558617,0.0
Dry,0.5,2.0992931283966425,1.3277548791309788,0.0
Dry,1.0,2.1582381068970773,1.158287053985176,0.0
Dry,2.0,0.30609967833158536,0.1683713458353206,0.0
Dry,4.0,0.0,0.05261078589592696,0.0
Dry,0.1,1.8588692923904058,1.3310215644594492,0.0
Dry,0.3,1.8953752621556696,1.496725249347556,0.0
Dry,0.5,1.9078148734533866,1.6370731851955864,0.0
Dry,1.0,1.9355385410725638,1.9029080199493273,0.0
Dry,2.0,1.949382309574014,2.2316398789822154,0.0
Dry,4.0,1.0864786886170208,2.4351342958273645,0.0
Dry,0.1,2.110850744873592,1.5831203017555835,0.9867021501126774
Dry,0.3,2.143516309792515,1.927335215978547,0.8775478193246221
Dry,0.5,2.1848056536800824,2.158589044543824,0.7714752147196798
Dry,1.0,2.333200740373784,2.5107300267564754,0.4433981749989943
Dry,2.0,2.70317190427611,2.8570243164909273,0.0
Dry,4.0,0.0,2.792192938750718,2.592534831866709
Dry,0.1,1.8762178026301581,1.0604709839029154,0.21850605914953125
Dry,0.3,1.9562926486081447,1.0714957441813064,0.0
Dry,0.5,1.9313071154585866,1.078916907976304,0.0
Dry,1.0,1.845660113594665,1.0816429260109903,0.0
Dry,2.0,1.551801325065959,1.0428113273508293,0.0
Dry,4.0,0.3350970791829898,0.700240733623407,0.0
Dry,0.1,1.913210970183661,1.4658213575637165,0.10925959873564985
Dry,0.3,2.002838021373148,1.6284195194355533,0.0
Dry,0.5,2.0747343334411688,1.7609976730270458,0.0
Dry,1.0,2.2476950673357234,2.007007807381005,0.0
Dry,2.0,2.4957193831564783,2.288635109686773,0.0
Dry,4.0,0.0,0.0,0.0
Dry,0.1,2.115329290719933,1.4026833729105588,0.88594729077913
Dry,0.3,2.2653538372301107,1.5566175182377462,0.3194280284886691
Dry,0.5,2.5670061846063623,1.6328223484403426,0.0
Dry,1.0,2.909847819384343,1.8426794558639932,0.0
Dry,2.0,3.302396710370374,2.0887559464522734,0.0
Dry,4.0,0.0,2.003339280220123,2.4880468174221733
Dry,0.1,2.0749265202325073,1.2531871596828315,0.009409670238379138
Dry,0.3,2.101207384586895,1.1228814234958069,0.0
Dry,0.5,2.1208221776895155,0.9926690898330163,0.0
Dry,1.0,2.1608734934802882,0.7110795604336303,0.0
Dry,2.0,2.223567538865625,0.4780879660830535,0.0
Dry,4.0,2.2937101322604665,0.37363611771187855,0.0
Dry,0.1,2.002440454566184,1.1541464577536273,0.6428502631587045
Dry,0.3,2.268039464030293,1.0526576654001645,0.0
Dry,0.5,2.4613603862021796,1.0129467536103718,0.0
Dry,1.0,2.8043265895200213,0.992810388537933,0.0
Dry,2.0,3.2582624822330537,1.0379075872881174,0.0
Dry,4.0,0.0,0.0,0.0
Dry,0.1,2.0015388400146437,1.2065122391968306,0.9985850698490674
Dry,0.3,2.0792551150014633,1.0311297882464492,0.7534361485319133
Dry,0.5,2.160408983358865,0.859628981783003,0.3735416199943525
Dry,1.0,2.2766059097616433,0.5121649669247034,0.0
Dry,2.0,1.9240625254293549,0.0,0.0
Dry,4.0,0.2384255684387997,0.0,0.0
Dry,0.1,2.077255114624616,1.2784407033239018,0.9539008086637474
Dry,0.3,2.2868910487143843,1.3754940588539373,0.2575340404665132
Dry,0.5,2.508632214464424,1.4529932469836833,0.0
Dry,1.0,2.750353277275149,1.683118923441684,0.0
Dry,2.0,3.082927523533891,1.9789557943798968,0.0
Dry,4.0,0.17803616234990396,0.0,0.0
Normal,0.1,2.140767736918202,1.1256096759326282,0.03348153576937909
Normal,0.3,2.091553116813733,1.3334336270619518,0.0
Normal,0.5,2.0394214429831714,1.489824428278375,0.0
Normal,1.0,1.9062438628147058,1.7480943490476724,0.0
Normal,2.0,1.5987229389818696,2.0280347017634415,0.0
Normal,4.0,0.9354880841282555,2.2659678882832037,0.0
Normal,0.1,2.0554289409042052,1.4082562290210232,0.6103806953062219
Normal,0.3,1.9644957974255235,1.6000520391611717,0.5515739875107171
Normal,0.5,1.8644073342040164,1.7308999592643168,0.5572695200108906
Normal,1.0,1.4646067295603882,2.140940622983109,1.1127826422771951
Normal,2.0,0.5740646788198204,2.5815449735657907,2.081602816930162
Normal,4.0,0.0,2.6789818784517747,2.9153462656755478
Normal,0.1,1.8923832239149674,1.32448192690399,0.9245819495789929
Normal,0.3,1.918281899676862,1.291066634094863,0.6312190186415152
Normal,0.5,1.9722319974970153,1.2279705481935967,0.0
Normal,1.0,1.9836801826870882,1.2479761046708473,0.0
Normal,2.0,1.9486555040102977,1.25962696605203,0.0
Normal,4.0,0.46706637644694377,1.0890660097026008,0.0
Normal,0.1,2.059514413221958,1.3001228653004508,0.5298642612954761
Normal,0.3,2.188258171998759,1.3483030573039219,0.0
Normal,0.5,2.280663951803365,1.417157228034685,0.0
Normal,1.0,2.4888243472620757,1.5734072332079467,0.0
Normal,2.0,2.8299758342275383,1.8241875134113548,0.0
Normal,4.0,3.2660601635884974,2.144281061050225,0.0
Normal,0.1,2.0756061708606692,1.3756104138739729,0.5732961678717118
Normal,0.3,2.1457463668705263,1.4065134579262888,0.0
Normal,0.5,2.147989123823157,1.4422448560767795,0.0
Normal,1.0,2.1505763726599514,1.5159634989754538,0.0
Normal,2.0,2.1304839934530433,1.6192367482290804,0.0
Normal,4.0,0.0,0.0,0.0
Normal,0.1,2.2414950537154583,1.2983993573600314,0.5016810808660268
Normal,0.3,2.364433964267199,1.3252970971238556,0.0
Normal,0.5,2.4572062598851265,1.425977081484711,0.0
Normal,1.0,2.6699993701390548,1.616929565877033,0.0
